OBJECTID,ORGN,DSTN,SHAPE_Length
1000,MFULENI,SOMERSET WEST,27244.9755496006
1001,MFULENI,STELLENBOSCH,27884.2719003451
1002,TOWN CENTRE CALYPSO SQUARE MITCHELLS PLAIN,MUIZENBERG,25530.7861707702
1003,RETREAT,"ATHLONE (VIA KLIP RD, PLANTATION, WETTON, LANSDOWNE & JAN SMUTS DR)",19300.5066454847
1004,RETREAT,ATHLONE (VIA M5 & KLIPFONTEIN RD),17528.7058556096
1005,MUTUAL STATION,"MUTUAL RAILWAY STATION (VIA PINELANDS, FOREST DR & RINGWOOD DR)",8884.67896274712
1006,VOORBRUG DELFT,"MITCHELLS PLAIN (VIA LEIDEN, HINDLE, R300 & AZ BERMAN DR)",17007.3125350808
1007,TOWN CENTRE MITCHELLS PLAIN,JOHANNES MEINTJIES LENTEGEUR,6157.36215900195
1008,VOORBRUG DELFT,"MITCHELLS PLAIN (VIA LEIDEN, HINDLE, R300 & AZ BERMAN DR)",17007.3125350808
1009,SAMORA MACHEL,CLAREMONT,9432.58386656567
1010,NYANGA,TAMBO VILLAGE,20657.2676153869
1011,TOWN CENTRE CALYPSO SQUARE MITCHELLS PLAIN,CAPE TOWN (VIA MOWBRAY),32969.2539797694
1012,TOWN CENTRE CALYPSO SQUARE MITCHELLS PLAIN,"CAPE TOWN (VIA N2, LIESBEECK PRKWY, STATION RD, MAIN RD)",35829.5609045985
